url,manufacturer,car_name,body_style_general,body_style,production_start,production_end,production_end_display,car_label,half_decade,decade,length,width,width_incl_mirrors,height,wheelbase,ground_clearance,cargo_volume,cargo_volume_max,weight,segment,price_eu,price_us
https://www.carsized.com/en/cars/genesis-g80-2020-sedan-electrified/,Genesis,G80 Electrified,Sedan,Sedan,2020,,present,Genesis G80 Electrified (2020-present),2020-2024,2020s,500.5,192.5,211.5,147.0,301.0,14.0,354.0,,2325.0,Premium,72400.0,47700.0
https://www.carsized.com/en/cars/genesis-g90-2021-sedan/,Genesis,G90,Sedan,Sedan,2021,,present,Genesis G90 (2021-present),2020-2024,2020s,527.5,193.0,217.4,149.0,318.0,14.8,368.0,,2260.0,Premium,112180.0,88400.0
https://www.carsized.com/en/cars/genesis-gv60-2021-suv/,Genesis,GV60,SUV,SUV,2021,,present,Genesis GV60 (2021-present),2020-2024,2020s,451.5,189.0,,158.0,290.0,16.0,432.0,1550.0,2095.0,Premium,56370.0,59290.0
https://www.carsized.com/en/cars/genesis-gv70-2021-suv-electrified/,Genesis,GV70 Electrified,SUV,SUV,2021,,present,Genesis GV70 Electrified (2021-present),2020-2024,2020s,471.5,191.0,216.5,163.0,287.5,17.4,503.0,1678.0,2310.0,Premium,69580.0,65850.0
https://www.carsized.com/en/cars/genesis-gv80-2021-suv/,Genesis,GV80,SUV,SUV,2021,,present,Genesis GV80 (2021-present),2020-2024,2020s,494.5,197.5,,171.5,295.5,20.5,735.0,2152.0,2155.0,Premium,64950.0,49930.0
https://www.carsized.com/en/cars/gmc-acadia-2016-suv/,GMC,Acadia,SUV,SUV,2016,2020.0,2020,GMC Acadia (2016-2020),2015-2019,2010s,491.7,191.5,,167.6,285.7,18.3,362.0,2237.0,1794.0,Standard,,29070.0
https://www.carsized.com/en/cars/gmc-acadia-2020-suv/,GMC,Acadia,SUV,SUV,2020,,present,GMC Acadia (2020-present),2020-2024,2020s,491.7,191.5,,167.6,285.7,18.3,,,1779.0,Standard,,29800.0
https://www.carsized.com/en/cars/gmc-canyon-2014-pickup-extended-cab/,GMC,Canyon Extended Cab,Pick-up,Pick-up,2014,2022.0,2022,GMC Canyon Extended Cab (2014-2022),2010-2014,2010s,540.3,188.5,,179.1,325.9,21.8,,,1778.0,Standard,,20995.0
https://www.carsized.com/en/cars/gmc-hummer-ev-2021-4-door-pickup/,GMC,Hummer EV,Pick-up,4-door Pick-up,2021,,present,GMC Hummer EV (2021-present),2020-2024,2020s,550.7,220.2,238.0,200.9,344.4,25.7,,,4111.0,Premium,,108700.0
https://www.carsized.com/en/cars/gmc-hummer-ev-2021-suv/,GMC,Hummer EV,SUV,SUV,2021,,present,GMC Hummer EV (2021-present),2020-2024,2020s,525.0,219.6,,197.6,321.8,25.9,,,4111.0,Premium,,96550.0
https://www.carsized.com/en/cars/gmc-sierra-2015-pickup-1500-crew-cab-6/,GMC,Sierra 1500 Crew Cab 6,Pick-up,Pick-up,2015,2018.0,2018,GMC Sierra 1500 Crew Cab 6 (2015-2018),2015-2019,2010s,582.5,203.2,,188.4,364.5,,,,,Uncategorized,,
https://www.carsized.com/en/cars/gmc-sierra-2018-pickup-1500-double-cab/,GMC,Sierra 1500 Double Cab,Pick-up,Pick-up,2018,2022.0,2022,GMC Sierra 1500 Double Cab (2018-2022),2015-2019,2010s,588.8,206.2,,192.0,374.4,20.1,,,2141.0,Standard,,33500.0
https://www.carsized.com/en/cars/gmc-sierra-2019-pickup-2500-crew-cab/,GMC,Sierra HD 2500 Crew Cab,Pick-up,Pick-up,2019,2023.0,2023,GMC Sierra HD 2500 Crew Cab (2019-2023),2015-2019,2010s,635.3,208.0,,202.7,403.6,25.7,,,3108.0,Standard,,40000.0
